Cthun Druid,1,0.5,0.5262,0.476,0.4318,0.433,0.4279,0.4759,0.5574,0.4968,0.5056,0.4984
Midrange Hunter,2,0.4738,0.5,0.437,0.4295,0.5347,0.5113,0.5881,0.6233,0.4427,0.6096,0.5435
Aggro Shaman,3,0.524,0.563,0.5,0.4745,0.3893,0.4917,0.4005,0.6398,0.6181,0.5808,0.588
Zoo,4,0.5682,0.5705,0.5255,0.5,0.4447,0.4732,0.4206,0.4334,0.4584,0.5851,0.558
Dragon Warrior,5,0.567,0.4653,0.6107,0.5553,0.5,0.4737,0.5241,0.6889,0.4852,0.4459,0.5521
Yogg Druid,6,0.5721,0.4887,0.5083,0.5268,0.5263,0.5,0.4648,0.5522,0.5063,0.5617,0.5534
Tempo Warrior,7,0.5241,0.4119,0.5995,0.5794,0.4759,0.5352,0.5,0.6903,0.509,0.3884,0.5561
Freeze Mage,8,0.4426,0.3767,0.3602,0.5666,0.3111,0.4478,0.3097,0.5,0.6259,0.5563,0.4538
Miracle Rogue,9,0.5032,0.5573,0.3819,0.5416,0.5148,0.4937,0.491,0.3741,0.5,0.5545,0.4841
Renolock,10,0.4944,0.3904,0.4192,0.4149,0.5541,0.4383,0.6116,0.4437,0.4455,0.5,0.4454
Tempo mage,11,0.5016,0.4565,0.412,0.442,0.4479,0.4466,0.4439,0.5462,0.5159,0.5546,0.5
